Condition,Daylight (5000K),Fluorescent (5000K),LED (5000K),4-LED mixture (5000K)
Illuminance [lx],0.9999999999999997,0.9999999999999993,0.9999999999999999,0.9999999999999999
CIE 1931 xy chromaticity (x),0.3457409504113066,0.3458055681958079,0.34370033756326757,0.3451092782212092
CIE 1931 xy chromaticity (y),0.3585609991719351,0.3586178051017101,0.355576075000616,0.351618382131822
CIE 1964 x₁₀y₁₀ chromaticity (x₁₀),0.34779742361246296,0.3489653941603862,0.3506391036328467,0.3510894371698232
CIE 1964 x₁₀y₁₀ chromaticity (y₁₀),0.3595720318624596,0.35931750100359866,0.3547363997891127,0.3523229834888695
S-cone-opic irradiance (mW ⋅ m⁻²),0.6102099272795927,0.6073708331271263,0.6171933680381673,0.6222111884347399
M-cone-opic irradiance (mW ⋅ m⁻²),1.3828499517902864,1.3726349505103757,1.3497837461923727,1.3455137526254624
L-cone-opic irradiance (mW ⋅ m⁻²),1.6294343508307396,1.6228100219392854,1.6118525089738553,1.6108646874357908
Rhodopic irradiance (mW ⋅ m⁻²),1.2701734190229217,1.2270176115755609,1.1376011873896008,1.188059713071146
Melanopic irradiance (mW ⋅ m⁻²),1.123520258985078,1.0677030889033634,0.9892462924621745,1.0303798650207696
S-cone-opic EDI [lx],0.7466262800463952,0.7431524881413576,0.7551709138886269,0.7613105002983992
M-cone-opic EDI [lx],0.9498728762624479,0.9428562417865154,0.9271598611752269,0.9242268234542707
L-cone-opic EDI [lx],1.0003232748663713,0.9962565443674636,0.9895296361932365,0.988923204350532
Rhodopic EDI [lx],0.8761607821087035,0.8463920706561378,0.7847129621384995,0.8195190607885587
Melanopic EDI [lx],0.8471641423925309,0.8050765123343339,0.7459180021602437,0.7769338093443721
S-cone-opic ELR,0.6102099272795929,0.6073708331271267,0.6171933680381674,0.62221118843474
M-cone-opic ELR,1.3828499517902868,1.3726349505103765,1.349783746192373,1.3455137526254626
L-cone-opic ELR,1.62943435083074,1.6228100219392865,1.6118525089738556,1.610864687435791
Rhodopic ELR,1.2701734190229221,1.2270176115755618,1.137601187389601,1.1880597130711463
Melanopic ELR,1.1235202589850783,1.067703088903364,0.9892462924621747,1.0303798650207698
